{'gpu': {'device_ids': [0], 'distributed': True, 'main_device': 0}, 'data': {'traffic_file': 'data/PEMS08/PEMS08.npz', 'train_ratio': 0.6, 'val_ratio': 0.2, 'test_ratio': 0.2, 'batch_size': 32}, 'model': {'input_dim': 3, 'P': 12, 'Q': 12, 'T': 288, 'L': 2, 'K': 8, 'd': 16, 'embed_dim': 64, 'skip_dim': 256, 'lape_dim': 64}, 'training': {'max_epoch': 1500, 'patience': 50, 'learning_rate': 0.001, 'clip_grad': 5, 'loss_func': 'masked_mae', 'use_temporal_weighting': False, 'temporal_weight_scheme': 'progressive', 'use_cosine_annealing': True, 'lr_decay': True, 'lr_decay_rate': 0.3, 'lr_decay_step': '5,20,40,70', 'step_size': 100, 'gamma': 0.9, 'weight_decay': 0.0001, 'dropout': 0.1, 'warmup_epochs': 50}, 'logging': {'log_dir': './logs', 'tensorboard_dir': './runLog/mpgat', 'verbose': 1}, 'saving': {'model_dir': './saved_models', 'save_best': True}, 'misc': {'seed': 42, 'time_slot': 5, 'use_amp': False}}
train	x: (10714, 12, 170, 3), y: (10714, 12, 170, 3)
eval	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
test	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
2025-12-26-09-06-05	Epoch 1	Train Loss = 202.26152, Val Loss = 133.97323
2025-12-26-09-06-52	Epoch 2	Train Loss = 98.38103, Val Loss = 118.47034
2025-12-26-09-07-39	Epoch 3	Train Loss = 70.54975, Val Loss = 70.28209
2025-12-26-09-08-27	Epoch 4	Train Loss = 49.47685, Val Loss = 46.26013
2025-12-26-09-09-14	Epoch 5	Train Loss = 41.47386, Val Loss = 36.44310
2025-12-26-09-10-02	Epoch 6	Train Loss = 43.30538, Val Loss = 46.69036
2025-12-26-09-10-49	Epoch 7	Train Loss = 38.83901, Val Loss = 36.72664
2025-12-26-09-11-37	Epoch 8	Train Loss = 35.70355, Val Loss = 33.66716
2025-12-26-09-12-24	Epoch 9	Train Loss = 33.87748, Val Loss = 38.24523
2025-12-26-09-13-12	Epoch 10	Train Loss = 30.44315, Val Loss = 27.54151
2025-12-26-09-13-59	Epoch 11	Train Loss = 30.00692, Val Loss = 33.73442
2025-12-26-09-14-47	Epoch 12	Train Loss = 30.18453, Val Loss = 32.65606
2025-12-26-09-15-35	Epoch 13	Train Loss = 27.31617, Val Loss = 27.13175
2025-12-26-09-16-22	Epoch 14	Train Loss = 28.41282, Val Loss = 36.16652
2025-12-26-09-17-10	Epoch 15	Train Loss = 26.88918, Val Loss = 29.50623
2025-12-26-09-17-57	Epoch 16	Train Loss = 25.16966, Val Loss = 26.20684
2025-12-26-09-18-45	Epoch 17	Train Loss = 25.80080, Val Loss = 30.51716
2025-12-26-09-19-32	Epoch 18	Train Loss = 27.76200, Val Loss = 26.67791
2025-12-26-09-20-20	Epoch 19	Train Loss = 27.10878, Val Loss = 31.76791
2025-12-26-09-21-08	Epoch 20	Train Loss = 27.10807, Val Loss = 33.73044
2025-12-26-09-21-55	Epoch 21	Train Loss = 26.03401, Val Loss = 26.47089
2025-12-26-09-22-43	Epoch 22	Train Loss = 25.48328, Val Loss = 24.76778
2025-12-26-09-23-30	Epoch 23	Train Loss = 27.36401, Val Loss = 23.49113
2025-12-26-09-24-18	Epoch 24	Train Loss = 25.45620, Val Loss = 26.40448
2025-12-26-09-25-05	Epoch 25	Train Loss = 25.85198, Val Loss = 27.19145
2025-12-26-09-25-53	Epoch 26	Train Loss = 23.53881, Val Loss = 23.97583
2025-12-26-09-26-42	Epoch 27	Train Loss = 22.27725, Val Loss = 24.71954
2025-12-26-09-27-30	Epoch 28	Train Loss = 21.38980, Val Loss = 24.22595
2025-12-26-09-28-18	Epoch 29	Train Loss = 22.63552, Val Loss = 27.52247
2025-12-26-09-29-05	Epoch 30	Train Loss = 22.57555, Val Loss = 24.23835
2025-12-26-09-29-53	Epoch 31	Train Loss = 23.10419, Val Loss = 34.87412
