{'gpu': {'device_ids': [0], 'distributed': True, 'main_device': 0}, 'data': {'traffic_file': 'data/PEMS08/PEMS08.npz', 'train_ratio': 0.6, 'val_ratio': 0.2, 'test_ratio': 0.2, 'batch_size': 32}, 'model': {'input_dim': 3, 'P': 12, 'Q': 12, 'T': 288, 'L': 1, 'K': 8, 'd': 32, 'embed_dim': 64, 'skip_dim': 256, 'lape_dim': 64}, 'training': {'max_epoch': 1500, 'patience': 50, 'learning_rate': 0.001, 'clip_grad': 5, 'loss_func': 'masked_mae', 'use_temporal_weighting': False, 'temporal_weight_scheme': 'progressive', 'use_cosine_annealing': True, 'lr_decay': False, 'lr_decay_rate': 0.3, 'lr_decay_step': '5,20,40,70', 'step_size': 100, 'gamma': 0.9, 'weight_decay': 0.0002, 'dropout': 0.1, 'warmup_epochs': 50}, 'logging': {'log_dir': './logs', 'tensorboard_dir': './runLog/mpgat', 'verbose': 1}, 'saving': {'model_dir': './saved_models', 'save_best': True}, 'misc': {'seed': 42, 'time_slot': 5, 'use_amp': False}}
train	x: (10714, 12, 170, 3), y: (10714, 12, 170, 3)
eval	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
test	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
2025-12-29-22-20-43	Epoch 1	Train Loss = 122.27164, Val Loss = 91.33174
2025-12-29-22-21-28	Epoch 2	Train Loss = 73.99549, Val Loss = 49.76425
2025-12-29-22-22-14	Epoch 3	Train Loss = 53.43842, Val Loss = 55.74863
2025-12-29-22-23-00	Epoch 4	Train Loss = 38.29714, Val Loss = 40.53266
2025-12-29-22-23-45	Epoch 5	Train Loss = 35.12696, Val Loss = 34.77940
2025-12-29-22-24-31	Epoch 6	Train Loss = 46.65713, Val Loss = 33.72176
2025-12-29-22-25-17	Epoch 7	Train Loss = 36.91255, Val Loss = 45.56457
2025-12-29-22-26-02	Epoch 8	Train Loss = 33.45291, Val Loss = 31.96042
2025-12-29-22-26-48	Epoch 9	Train Loss = 31.93014, Val Loss = 32.51396
2025-12-29-22-27-34	Epoch 10	Train Loss = 30.42190, Val Loss = 36.63289
2025-12-29-22-28-19	Epoch 11	Train Loss = 29.34952, Val Loss = 30.89791
2025-12-29-22-29-05	Epoch 12	Train Loss = 28.37033, Val Loss = 28.78218
2025-12-29-22-29-50	Epoch 13	Train Loss = 27.56205, Val Loss = 30.70742
2025-12-29-22-30-36	Epoch 14	Train Loss = 28.51274, Val Loss = 30.78518
2025-12-29-22-31-22	Epoch 15	Train Loss = 28.56096, Val Loss = 30.49990
2025-12-29-22-32-07	Epoch 16	Train Loss = 25.41359, Val Loss = 27.73478
2025-12-29-22-32-53	Epoch 17	Train Loss = 25.30904, Val Loss = 26.91550
2025-12-29-22-33-38	Epoch 18	Train Loss = 25.33065, Val Loss = 29.24453
2025-12-29-22-34-24	Epoch 19	Train Loss = 28.90883, Val Loss = 36.53124
2025-12-29-22-35-10	Epoch 20	Train Loss = 25.14098, Val Loss = 26.63271
2025-12-29-22-35-55	Epoch 21	Train Loss = 24.11850, Val Loss = 25.91037
2025-12-29-22-36-41	Epoch 22	Train Loss = 25.56537, Val Loss = 35.62862
2025-12-29-22-37-27	Epoch 23	Train Loss = 28.49509, Val Loss = 26.60222
2025-12-29-22-38-12	Epoch 24	Train Loss = 23.63240, Val Loss = 25.49792
2025-12-29-22-38-58	Epoch 25	Train Loss = 23.64657, Val Loss = 27.99266
2025-12-29-22-39-43	Epoch 26	Train Loss = 24.18880, Val Loss = 26.74316
2025-12-29-22-40-29	Epoch 27	Train Loss = 26.76495, Val Loss = 25.44853
2025-12-29-22-41-15	Epoch 28	Train Loss = 26.72750, Val Loss = 30.85399
2025-12-29-22-42-00	Epoch 29	Train Loss = 26.73470, Val Loss = 26.39886
2025-12-29-22-42-46	Epoch 30	Train Loss = 24.96506, Val Loss = 25.56029
2025-12-29-22-43-31	Epoch 31	Train Loss = 22.79190, Val Loss = 26.69061
2025-12-29-22-44-17	Epoch 32	Train Loss = 22.66670, Val Loss = 25.95344
2025-12-29-22-45-03	Epoch 33	Train Loss = 25.98489, Val Loss = 25.98074
2025-12-29-22-45-48	Epoch 34	Train Loss = 24.03687, Val Loss = 29.54529
2025-12-29-22-46-34	Epoch 35	Train Loss = 24.82057, Val Loss = 25.49176
2025-12-29-22-47-19	Epoch 36	Train Loss = 22.40765, Val Loss = 24.53375
2025-12-29-22-48-05	Epoch 37	Train Loss = 22.68812, Val Loss = 25.67211
2025-12-29-22-48-50	Epoch 38	Train Loss = 24.80251, Val Loss = 25.86763
2025-12-29-22-49-36	Epoch 39	Train Loss = 24.59273, Val Loss = 31.64374
2025-12-29-22-50-22	Epoch 40	Train Loss = 24.48286, Val Loss = 25.86474
2025-12-29-22-51-07	Epoch 41	Train Loss = 25.14959, Val Loss = 25.79898
2025-12-29-22-51-53	Epoch 42	Train Loss = 21.97425, Val Loss = 24.53578
2025-12-29-22-52-38	Epoch 43	Train Loss = 22.07033, Val Loss = 24.30376
2025-12-29-22-53-24	Epoch 44	Train Loss = 24.07765, Val Loss = 34.30104
2025-12-29-22-54-09	Epoch 45	Train Loss = 23.76965, Val Loss = 28.90127
2025-12-29-22-54-55	Epoch 46	Train Loss = 24.01867, Val Loss = 29.72219
2025-12-29-22-55-41	Epoch 47	Train Loss = 26.64946, Val Loss = 26.48544
2025-12-29-22-56-26	Epoch 48	Train Loss = 24.76662, Val Loss = 28.04716
2025-12-29-22-57-12	Epoch 49	Train Loss = 23.05803, Val Loss = 26.80404
2025-12-29-22-57-57	Epoch 50	Train Loss = 22.77049, Val Loss = 25.50057
2025-12-29-22-58-43	Epoch 51	Train Loss = 23.93454, Val Loss = 25.43179
2025-12-29-22-59-28	Epoch 52	Train Loss = 23.03147, Val Loss = 23.75382
2025-12-29-23-00-14	Epoch 53	Train Loss = 23.02822, Val Loss = 24.98581
2025-12-29-23-00-59	Epoch 54	Train Loss = 25.11944, Val Loss = 26.55324
2025-12-29-23-01-45	Epoch 55	Train Loss = 22.51532, Val Loss = 25.96044
2025-12-29-23-02-30	Epoch 56	Train Loss = 22.96562, Val Loss = 25.39045
2025-12-29-23-03-16	Epoch 57	Train Loss = 22.01614, Val Loss = 23.26119
2025-12-29-23-04-01	Epoch 58	Train Loss = 22.46087, Val Loss = 24.32647
2025-12-29-23-04-47	Epoch 59	Train Loss = 22.05443, Val Loss = 23.38044
2025-12-29-23-05-33	Epoch 60	Train Loss = 23.18801, Val Loss = 27.44577
2025-12-29-23-06-18	Epoch 61	Train Loss = 23.61659, Val Loss = 24.67716
2025-12-29-23-07-04	Epoch 62	Train Loss = 22.08810, Val Loss = 28.07199
2025-12-29-23-07-49	Epoch 63	Train Loss = 21.66612, Val Loss = 27.43485
2025-12-29-23-08-35	Epoch 64	Train Loss = 21.58248, Val Loss = 25.11100
2025-12-29-23-09-20	Epoch 65	Train Loss = 21.32083, Val Loss = 25.89148
2025-12-29-23-10-06	Epoch 66	Train Loss = 21.27195, Val Loss = 23.72169
2025-12-29-23-10-51	Epoch 67	Train Loss = 23.55809, Val Loss = 25.86849
2025-12-29-23-11-37	Epoch 68	Train Loss = 20.95314, Val Loss = 23.55657
2025-12-29-23-12-22	Epoch 69	Train Loss = 22.01766, Val Loss = 26.63917
2025-12-29-23-13-08	Epoch 70	Train Loss = 20.67054, Val Loss = 23.14344
2025-12-29-23-13-53	Epoch 71	Train Loss = 21.33001, Val Loss = 22.91048
2025-12-29-23-14-39	Epoch 72	Train Loss = 21.23630, Val Loss = 24.11393
2025-12-29-23-15-24	Epoch 73	Train Loss = 21.85470, Val Loss = 26.98770
2025-12-29-23-16-10	Epoch 74	Train Loss = 20.63817, Val Loss = 24.80763
2025-12-29-23-16-56	Epoch 75	Train Loss = 21.63603, Val Loss = 24.77929
2025-12-29-23-17-41	Epoch 76	Train Loss = 21.66758, Val Loss = 25.20500
2025-12-29-23-18-27	Epoch 77	Train Loss = 21.13850, Val Loss = 22.93418
2025-12-29-23-19-12	Epoch 78	Train Loss = 22.00785, Val Loss = 25.15622
2025-12-29-23-19-58	Epoch 79	Train Loss = 22.31649, Val Loss = 28.29639
2025-12-29-23-20-43	Epoch 80	Train Loss = 21.68454, Val Loss = 24.17021
2025-12-29-23-21-29	Epoch 81	Train Loss = 21.25206, Val Loss = 23.75310
2025-12-29-23-22-14	Epoch 82	Train Loss = 20.92820, Val Loss = 27.91551
