{'gpu': {'device_ids': [0, 1, 2], 'distributed': True, 'main_device': 0}, 'data': {'traffic_file': 'data/PEMS08/PEMS08.npz', 'train_ratio': 0.6, 'val_ratio': 0.2, 'test_ratio': 0.2, 'batch_size': 64}, 'model': {'input_dim': 3, 'P': 12, 'Q': 12, 'T': 288, 'L': 1, 'K': 4, 'd': 32, 'embed_dim': 64, 'skip_dim': 256}, 'training': {'max_epoch': 400, 'patience': 50, 'learning_rate': 0.001, 'clip_grad': 5, 'loss_func': 'masked_mae', 'use_temporal_weighting': False, 'temporal_weight_scheme': 'progressive', 'use_cosine_annealing': False, 'lr_decay': False, 'lr_decay_rate': 0.3, 'lr_decay_step': '5,20,40,70', 'step_size': 100, 'gamma': 0.9, 'weight_decay': 5e-05, 'dropout': 0.1, 'warmup_epochs': 15}, 'logging': {'log_dir': './logs', 'tensorboard_dir': './runLog/mpgat', 'verbose': 1}, 'saving': {'model_dir': './saved_models', 'save_best': True}, 'misc': {'seed': 42, 'time_slot': 5, 'use_amp': False}}
train	x: (10714, 12, 170, 3), y: (10714, 12, 170, 3)
eval	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
test	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
2025-12-31-13-26-45	Epoch 1	Train Loss = 228.54118, Val Loss = 134.50506
2025-12-31-13-26-53	Epoch 2	Train Loss = 124.98247, Val Loss = 90.32656
2025-12-31-13-27-02	Epoch 3	Train Loss = 73.79733, Val Loss = 72.99932
2025-12-31-13-27-10	Epoch 4	Train Loss = 60.62814, Val Loss = 56.32328
2025-12-31-13-27-18	Epoch 5	Train Loss = 56.46455, Val Loss = 90.78967
2025-12-31-13-27-26	Epoch 6	Train Loss = 49.99122, Val Loss = 47.14592
2025-12-31-13-27-34	Epoch 7	Train Loss = 41.33808, Val Loss = 41.02015
2025-12-31-13-27-41	Epoch 8	Train Loss = 38.92398, Val Loss = 39.76500
2025-12-31-13-27-49	Epoch 9	Train Loss = 36.89871, Val Loss = 41.71953
2025-12-31-13-27-57	Epoch 10	Train Loss = 35.90987, Val Loss = 37.83527
2025-12-31-13-28-05	Epoch 11	Train Loss = 34.06351, Val Loss = 37.10055
2025-12-31-13-28-13	Epoch 12	Train Loss = 33.92081, Val Loss = 36.30446
2025-12-31-13-28-21	Epoch 13	Train Loss = 33.55475, Val Loss = 49.80112
2025-12-31-13-28-29	Epoch 14	Train Loss = 40.74069, Val Loss = 35.59648
2025-12-31-13-28-37	Epoch 15	Train Loss = 34.39962, Val Loss = 40.62485
2025-12-31-13-28-45	Epoch 16	Train Loss = 31.88934, Val Loss = 32.83169
2025-12-31-13-28-53	Epoch 17	Train Loss = 31.10233, Val Loss = 29.51152
2025-12-31-13-29-01	Epoch 18	Train Loss = 30.42847, Val Loss = 37.42956
2025-12-31-13-29-08	Epoch 19	Train Loss = 29.96824, Val Loss = 29.95553
2025-12-31-13-29-16	Epoch 20	Train Loss = 38.17154, Val Loss = 44.09700
2025-12-31-13-29-24	Epoch 21	Train Loss = 36.71959, Val Loss = 37.85490
2025-12-31-13-29-32	Epoch 22	Train Loss = 29.98384, Val Loss = 28.83520
2025-12-31-13-29-40	Epoch 23	Train Loss = 26.40419, Val Loss = 29.87003
2025-12-31-13-29-48	Epoch 24	Train Loss = 29.50053, Val Loss = 33.35417
2025-12-31-13-29-56	Epoch 25	Train Loss = 27.76716, Val Loss = 28.55561
2025-12-31-13-30-04	Epoch 26	Train Loss = 27.31652, Val Loss = 26.44485
2025-12-31-13-30-12	Epoch 27	Train Loss = 28.63918, Val Loss = 38.04001
2025-12-31-13-30-20	Epoch 28	Train Loss = 31.54946, Val Loss = 32.01370
2025-12-31-13-30-28	Epoch 29	Train Loss = 29.70475, Val Loss = 29.42633
2025-12-31-13-30-35	Epoch 30	Train Loss = 27.46264, Val Loss = 30.48865
2025-12-31-13-30-43	Epoch 31	Train Loss = 26.65060, Val Loss = 26.38512
2025-12-31-13-30-51	Epoch 32	Train Loss = 26.05899, Val Loss = 26.06940
2025-12-31-13-30-59	Epoch 33	Train Loss = 26.53113, Val Loss = 38.44344
2025-12-31-13-31-07	Epoch 34	Train Loss = 31.20139, Val Loss = 25.89482
2025-12-31-13-31-15	Epoch 35	Train Loss = 30.19611, Val Loss = 39.23343
2025-12-31-13-31-23	Epoch 36	Train Loss = 29.78694, Val Loss = 26.47668
