{'gpu': {'device_ids': [0, 1, 2], 'distributed': True, 'main_device': 0}, 'data': {'traffic_file': 'data/PEMS08/PEMS08.npz', 'train_ratio': 0.6, 'val_ratio': 0.2, 'test_ratio': 0.2, 'batch_size': 64}, 'model': {'input_dim': 3, 'P': 12, 'Q': 12, 'T': 288, 'L': 2, 'K': 4, 'd': 32, 'embed_dim': 64, 'skip_dim': 256}, 'training': {'max_epoch': 1500, 'patience': 50, 'learning_rate': 0.001, 'clip_grad': 5, 'loss_func': 'masked_mae', 'use_temporal_weighting': False, 'temporal_weight_scheme': 'progressive', 'use_cosine_annealing': True, 'lr_decay': False, 'lr_decay_rate': 0.3, 'lr_decay_step': '5,20,40,70', 'step_size': 100, 'gamma': 0.9, 'weight_decay': 0.0001, 'dropout': 0.15, 'warmup_epochs': 15}, 'logging': {'log_dir': './logs', 'tensorboard_dir': './runLog/mpgat', 'verbose': 1}, 'saving': {'model_dir': './saved_models', 'save_best': True}, 'misc': {'seed': 42, 'time_slot': 5, 'use_amp': False}}
train	x: (10714, 12, 170, 3), y: (10714, 12, 170, 3)
eval	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
test	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
2025-12-31-14-22-18	Epoch 1	Train Loss = 257.72729, Val Loss = 128.45957
2025-12-31-14-22-33	Epoch 2	Train Loss = 146.30894, Val Loss = 149.17345
2025-12-31-14-22-47	Epoch 3	Train Loss = 135.94906, Val Loss = 132.45335
2025-12-31-14-23-02	Epoch 4	Train Loss = 134.46356, Val Loss = 113.75981
2025-12-31-14-23-16	Epoch 5	Train Loss = 124.46339, Val Loss = 117.61037
2025-12-31-14-23-30	Epoch 6	Train Loss = 110.75053, Val Loss = 87.20944
2025-12-31-14-23-45	Epoch 7	Train Loss = 93.55135, Val Loss = 106.81781
2025-12-31-14-23-59	Epoch 8	Train Loss = 82.29576, Val Loss = 65.17243
2025-12-31-14-24-13	Epoch 9	Train Loss = 58.30597, Val Loss = 56.30241
2025-12-31-14-24-28	Epoch 10	Train Loss = 47.12484, Val Loss = 45.84363
2025-12-31-14-24-42	Epoch 11	Train Loss = 42.17847, Val Loss = 41.77833
2025-12-31-14-24-56	Epoch 12	Train Loss = 39.82522, Val Loss = 40.14443
2025-12-31-14-25-11	Epoch 13	Train Loss = 37.32205, Val Loss = 38.60628
2025-12-31-14-25-25	Epoch 14	Train Loss = 36.45064, Val Loss = 36.59266
2025-12-31-14-25-39	Epoch 15	Train Loss = 35.41792, Val Loss = 34.39999
2025-12-31-14-25-53	Epoch 16	Train Loss = 37.54024, Val Loss = 40.51704
2025-12-31-14-26-08	Epoch 17	Train Loss = 34.49834, Val Loss = 33.31075
2025-12-31-14-26-22	Epoch 18	Train Loss = 32.10695, Val Loss = 32.68280
2025-12-31-14-26-36	Epoch 19	Train Loss = 44.45790, Val Loss = 46.52552
2025-12-31-14-26-51	Epoch 20	Train Loss = 53.45301, Val Loss = 40.04299
2025-12-31-14-27-05	Epoch 21	Train Loss = 41.63920, Val Loss = 44.85988
2025-12-31-14-27-20	Epoch 22	Train Loss = 37.92444, Val Loss = 38.65977
2025-12-31-14-27-35	Epoch 23	Train Loss = 34.34243, Val Loss = 36.87419
2025-12-31-14-27-49	Epoch 24	Train Loss = 37.80884, Val Loss = 34.29887
2025-12-31-14-28-04	Epoch 25	Train Loss = 39.51425, Val Loss = 39.04672
2025-12-31-14-28-18	Epoch 26	Train Loss = 38.62057, Val Loss = 43.48655
2025-12-31-14-28-33	Epoch 27	Train Loss = 34.78523, Val Loss = 39.27197
2025-12-31-14-28-47	Epoch 28	Train Loss = 40.54615, Val Loss = 40.09511
2025-12-31-14-29-02	Epoch 29	Train Loss = 35.14166, Val Loss = 35.69444
2025-12-31-14-29-17	Epoch 30	Train Loss = 31.54958, Val Loss = 37.97382
2025-12-31-14-29-31	Epoch 31	Train Loss = 31.37966, Val Loss = 32.68368
2025-12-31-14-29-45	Epoch 32	Train Loss = 29.97024, Val Loss = 34.88094
2025-12-31-14-30-00	Epoch 33	Train Loss = 29.32368, Val Loss = 32.49837
2025-12-31-14-30-14	Epoch 34	Train Loss = 29.10670, Val Loss = 29.57789
2025-12-31-14-30-29	Epoch 35	Train Loss = 31.62125, Val Loss = 35.51026
2025-12-31-14-30-43	Epoch 36	Train Loss = 35.67219, Val Loss = 36.96463
2025-12-31-14-30-57	Epoch 37	Train Loss = 37.08823, Val Loss = 44.45810
2025-12-31-14-31-12	Epoch 38	Train Loss = 34.61057, Val Loss = 30.59558
2025-12-31-14-31-26	Epoch 39	Train Loss = 36.85027, Val Loss = 36.41747
2025-12-31-14-31-41	Epoch 40	Train Loss = 28.61530, Val Loss = 28.67064
2025-12-31-14-31-55	Epoch 41	Train Loss = 27.45380, Val Loss = 27.18116
2025-12-31-14-32-10	Epoch 42	Train Loss = 27.01868, Val Loss = 32.13648
2025-12-31-14-32-24	Epoch 43	Train Loss = 27.19193, Val Loss = 26.19108
2025-12-31-14-32-38	Epoch 44	Train Loss = 30.55102, Val Loss = 34.10134
2025-12-31-14-32-53	Epoch 45	Train Loss = 35.10419, Val Loss = 43.35626
2025-12-31-14-33-07	Epoch 46	Train Loss = 34.74277, Val Loss = 36.33858
2025-12-31-14-33-21	Epoch 47	Train Loss = 29.27858, Val Loss = 27.29440
2025-12-31-14-33-36	Epoch 48	Train Loss = 26.41960, Val Loss = 27.27309
2025-12-31-14-33-50	Epoch 49	Train Loss = 25.87828, Val Loss = 29.10130
2025-12-31-14-34-04	Epoch 50	Train Loss = 25.78571, Val Loss = 30.75056
2025-12-31-14-34-19	Epoch 51	Train Loss = 27.14187, Val Loss = 26.24388
2025-12-31-14-34-33	Epoch 52	Train Loss = 25.61934, Val Loss = 29.64627
2025-12-31-14-34-47	Epoch 53	Train Loss = 26.27603, Val Loss = 28.71015
2025-12-31-14-35-02	Epoch 54	Train Loss = 26.09270, Val Loss = 27.10915
2025-12-31-14-35-16	Epoch 55	Train Loss = 28.90154, Val Loss = 29.49515
2025-12-31-14-35-30	Epoch 56	Train Loss = 29.76677, Val Loss = 28.64292
2025-12-31-14-35-45	Epoch 57	Train Loss = 25.22908, Val Loss = 25.74250
2025-12-31-14-35-59	Epoch 58	Train Loss = 24.42046, Val Loss = 47.74162
2025-12-31-14-36-14	Epoch 59	Train Loss = 25.99139, Val Loss = 27.47733
2025-12-31-14-36-28	Epoch 60	Train Loss = 27.99386, Val Loss = 32.00090
2025-12-31-14-36-42	Epoch 61	Train Loss = 26.73284, Val Loss = 29.30054
2025-12-31-14-36-57	Epoch 62	Train Loss = 24.71488, Val Loss = 24.75049
2025-12-31-14-37-11	Epoch 63	Train Loss = 24.65342, Val Loss = 27.57775
2025-12-31-14-37-25	Epoch 64	Train Loss = 23.26109, Val Loss = 22.87478
2025-12-31-14-37-40	Epoch 65	Train Loss = 24.64583, Val Loss = 26.55877
2025-12-31-14-37-54	Epoch 66	Train Loss = 24.01254, Val Loss = 29.83598
2025-12-31-14-38-08	Epoch 67	Train Loss = 26.83768, Val Loss = 23.97994
2025-12-31-14-38-23	Epoch 68	Train Loss = 23.92777, Val Loss = 23.44546
2025-12-31-14-38-37	Epoch 69	Train Loss = 22.62668, Val Loss = 24.67402
2025-12-31-14-38-51	Epoch 70	Train Loss = 23.19746, Val Loss = 31.21829
2025-12-31-14-39-06	Epoch 71	Train Loss = 27.22644, Val Loss = 26.65212
2025-12-31-14-39-20	Epoch 72	Train Loss = 24.94062, Val Loss = 23.07726
2025-12-31-14-39-34	Epoch 73	Train Loss = 23.35103, Val Loss = 28.59412
2025-12-31-14-39-48	Epoch 74	Train Loss = 28.84753, Val Loss = 28.42193
2025-12-31-14-40-03	Epoch 75	Train Loss = 23.54477, Val Loss = 24.75405
2025-12-31-14-40-17	Epoch 76	Train Loss = 24.27307, Val Loss = 34.14086
2025-12-31-14-40-31	Epoch 77	Train Loss = 24.89775, Val Loss = 23.98985
2025-12-31-14-40-46	Epoch 78	Train Loss = 23.93880, Val Loss = 30.28992
2025-12-31-14-41-00	Epoch 79	Train Loss = 23.97485, Val Loss = 22.18700
2025-12-31-14-41-14	Epoch 80	Train Loss = 23.20050, Val Loss = 26.17986
2025-12-31-14-41-29	Epoch 81	Train Loss = 23.41654, Val Loss = 32.89411
2025-12-31-14-41-43	Epoch 82	Train Loss = 22.56676, Val Loss = 22.37664
2025-12-31-14-41-57	Epoch 83	Train Loss = 20.78101, Val Loss = 28.72527
2025-12-31-14-42-11	Epoch 84	Train Loss = 23.35458, Val Loss = 23.99976
2025-12-31-14-42-26	Epoch 85	Train Loss = 21.34616, Val Loss = 22.07226
2025-12-31-14-42-40	Epoch 86	Train Loss = 21.20474, Val Loss = 23.20303
