{'gpu': {'device_ids': [0, 1, 2], 'distributed': True, 'main_device': 0}, 'data': {'traffic_file': 'data/PEMS08/PEMS08.npz', 'train_ratio': 0.6, 'val_ratio': 0.2, 'test_ratio': 0.2, 'batch_size': 64}, 'model': {'input_dim': 3, 'P': 12, 'Q': 12, 'T': 288, 'L': 2, 'K': 4, 'd': 32, 'embed_dim': 64, 'skip_dim': 256}, 'training': {'max_epoch': 1500, 'patience': 250, 'learning_rate': 0.001, 'clip_grad': 5, 'loss_func': 'masked_mae', 'use_temporal_weighting': False, 'temporal_weight_scheme': 'progressive', 'use_cosine_annealing': False, 'lr_decay': False, 'lr_decay_rate': 0.3, 'lr_decay_step': '5,20,40,70', 'step_size': 100, 'gamma': 0.9, 'weight_decay': 0.0001, 'dropout': 0.15, 'warmup_epochs': 15}, 'logging': {'log_dir': './logs', 'tensorboard_dir': './runLog/mpgat', 'verbose': 1}, 'saving': {'model_dir': './saved_models', 'save_best': True}, 'misc': {'seed': 42, 'time_slot': 5, 'use_amp': False}}
train	x: (10714, 12, 170, 3), y: (10714, 12, 170, 3)
eval	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
test	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
2025-12-31-18-50-57	Epoch 1	Train Loss = 652.87901, Val Loss = 159.54789
2025-12-31-18-51-11	Epoch 2	Train Loss = 164.68590, Val Loss = 108.49993
2025-12-31-18-51-26	Epoch 3	Train Loss = 98.71667, Val Loss = 81.21768
2025-12-31-18-51-40	Epoch 4	Train Loss = 93.42454, Val Loss = 69.45308
2025-12-31-18-51-54	Epoch 5	Train Loss = 67.72995, Val Loss = 63.71389
2025-12-31-18-52-09	Epoch 6	Train Loss = 53.92677, Val Loss = 49.25735
2025-12-31-18-52-23	Epoch 7	Train Loss = 41.42974, Val Loss = 41.59241
2025-12-31-18-52-38	Epoch 8	Train Loss = 36.91062, Val Loss = 37.64366
2025-12-31-18-52-52	Epoch 9	Train Loss = 35.03084, Val Loss = 35.53106
2025-12-31-18-53-06	Epoch 10	Train Loss = 33.54934, Val Loss = 33.81993
2025-12-31-18-53-21	Epoch 11	Train Loss = 32.77834, Val Loss = 32.44837
2025-12-31-18-53-35	Epoch 12	Train Loss = 32.17327, Val Loss = 32.91212
2025-12-31-18-53-49	Epoch 13	Train Loss = 30.94513, Val Loss = 33.74942
2025-12-31-18-54-04	Epoch 14	Train Loss = 30.60964, Val Loss = 31.70122
2025-12-31-18-54-18	Epoch 15	Train Loss = 30.17692, Val Loss = 29.92268
2025-12-31-18-54-32	Epoch 16	Train Loss = 29.47825, Val Loss = 30.77349
2025-12-31-18-54-46	Epoch 17	Train Loss = 29.62354, Val Loss = 32.52615
2025-12-31-18-55-01	Epoch 18	Train Loss = 28.88193, Val Loss = 29.50582
2025-12-31-18-55-15	Epoch 19	Train Loss = 28.42122, Val Loss = 29.30283
2025-12-31-18-55-30	Epoch 20	Train Loss = 28.28120, Val Loss = 29.84655
2025-12-31-18-55-44	Epoch 21	Train Loss = 27.62045, Val Loss = 30.13732
2025-12-31-18-55-58	Epoch 22	Train Loss = 27.59889, Val Loss = 30.66875
2025-12-31-18-56-13	Epoch 23	Train Loss = 27.03334, Val Loss = 28.18567
2025-12-31-18-56-27	Epoch 24	Train Loss = 30.79698, Val Loss = 54.00069
2025-12-31-18-56-41	Epoch 25	Train Loss = 39.33290, Val Loss = 35.07370
2025-12-31-18-56-56	Epoch 26	Train Loss = 33.76215, Val Loss = 30.95155
2025-12-31-18-57-10	Epoch 27	Train Loss = 31.65474, Val Loss = 34.63839
2025-12-31-18-57-24	Epoch 28	Train Loss = 39.52847, Val Loss = 42.89308
2025-12-31-18-57-38	Epoch 29	Train Loss = 32.50129, Val Loss = 30.87825
2025-12-31-18-57-53	Epoch 30	Train Loss = 30.41469, Val Loss = 27.05226
2025-12-31-18-58-07	Epoch 31	Train Loss = 29.28121, Val Loss = 36.32024
2025-12-31-18-58-21	Epoch 32	Train Loss = 29.54080, Val Loss = 33.70957
2025-12-31-18-58-36	Epoch 33	Train Loss = 30.48024, Val Loss = 33.82797
2025-12-31-18-58-50	Epoch 34	Train Loss = 38.86804, Val Loss = 36.68860
2025-12-31-18-59-04	Epoch 35	Train Loss = 37.75784, Val Loss = 35.21661
2025-12-31-18-59-19	Epoch 36	Train Loss = 32.16476, Val Loss = 32.30364
2025-12-31-18-59-33	Epoch 37	Train Loss = 28.41850, Val Loss = 27.59913
2025-12-31-18-59-47	Epoch 38	Train Loss = 27.19060, Val Loss = 32.96888
2025-12-31-19-00-02	Epoch 39	Train Loss = 27.38433, Val Loss = 28.56378
2025-12-31-19-00-16	Epoch 40	Train Loss = 26.93469, Val Loss = 26.30439
2025-12-31-19-00-31	Epoch 41	Train Loss = 27.29080, Val Loss = 30.29242
