{'gpu': {'device_ids': [1], 'distributed': True, 'main_device': 0}, 'data': {'traffic_file': 'data/PEMS08/PEMS08.npz', 'train_ratio': 0.6, 'val_ratio': 0.2, 'test_ratio': 0.2, 'batch_size': 32}, 'model': {'input_dim': 3, 'P': 12, 'Q': 12, 'T': 288, 'L': 3, 'K': 8, 'd': 32, 'embed_dim': 64, 'skip_dim': 256, 'lape_dim': 64}, 'training': {'max_epoch': 1500, 'patience': 50, 'learning_rate': 0.002, 'clip_grad': 5, 'loss_func': 'mse', 'use_temporal_weighting': False, 'temporal_weight_scheme': 'progressive', 'use_cosine_annealing': True, 'lr_decay': False, 'lr_decay_rate': 0.3, 'lr_decay_step': '5,20,40,70', 'step_size': 100, 'gamma': 0.9, 'weight_decay': 0.0001, 'dropout': 0.3, 'warmup_epochs': 50}, 'logging': {'log_dir': './logs', 'tensorboard_dir': './runLog/mpgat', 'verbose': 1}, 'saving': {'model_dir': './saved_models', 'save_best': True}, 'misc': {'seed': 42, 'time_slot': 5, 'use_amp': False}}
train	x: (10714, 12, 170, 3), y: (10714, 12, 170, 3)
eval	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
test	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
2026-01-04-13-07-52	Epoch 1	Train Loss = 0.87789, Val Loss = 0.17802
2026-01-04-13-09-58	Epoch 2	Train Loss = 0.08162, Val Loss = 0.11170
2026-01-04-13-12-04	Epoch 3	Train Loss = 0.05835, Val Loss = 0.11320
2026-01-04-13-14-10	Epoch 4	Train Loss = 0.05558, Val Loss = 0.11259
2026-01-04-13-16-16	Epoch 5	Train Loss = 0.05194, Val Loss = 0.10831
2026-01-04-13-18-21	Epoch 6	Train Loss = 0.05191, Val Loss = 0.10642
2026-01-04-13-20-27	Epoch 7	Train Loss = 0.05128, Val Loss = 0.10739
2026-01-04-13-22-33	Epoch 8	Train Loss = 0.05033, Val Loss = 0.10357
2026-01-04-13-24-39	Epoch 9	Train Loss = 0.04919, Val Loss = 0.10216
2026-01-04-13-26-45	Epoch 10	Train Loss = 0.04773, Val Loss = 0.10395
2026-01-04-13-28-51	Epoch 11	Train Loss = 0.04829, Val Loss = 0.10959
2026-01-04-13-30-57	Epoch 12	Train Loss = 0.04780, Val Loss = 0.09990
2026-01-04-13-33-03	Epoch 13	Train Loss = 0.04691, Val Loss = 0.11281
2026-01-04-13-35-09	Epoch 14	Train Loss = 0.04718, Val Loss = 0.10756
