{'gpu': {'device_ids': [1], 'distributed': True, 'main_device': 0}, 'data': {'traffic_file': 'data/PEMS08/PEMS08.npz', 'train_ratio': 0.6, 'val_ratio': 0.2, 'test_ratio': 0.2, 'batch_size': 32}, 'model': {'input_dim': 3, 'P': 12, 'Q': 12, 'T': 288, 'L': 3, 'K': 8, 'd': 32, 'embed_dim': 64, 'skip_dim': 256, 'lape_dim': 64}, 'training': {'max_epoch': 1500, 'patience': 50, 'learning_rate': 0.002, 'clip_grad': 5, 'loss_func': 'huber', 'use_temporal_weighting': False, 'temporal_weight_scheme': 'progressive', 'use_cosine_annealing': True, 'lr_decay': False, 'lr_decay_rate': 0.3, 'lr_decay_step': '5,20,40,70', 'step_size': 100, 'gamma': 0.9, 'weight_decay': 0.0001, 'dropout': 0.3, 'warmup_epochs': 50}, 'logging': {'log_dir': './logs', 'tensorboard_dir': './runLog/mpgat', 'verbose': 1}, 'saving': {'model_dir': './saved_models', 'save_best': True}, 'misc': {'seed': 42, 'time_slot': 5, 'use_amp': False}}
train	x: (10714, 12, 170, 3), y: (10714, 12, 170, 3)
eval	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
test	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
2026-01-05-14-12-02	Epoch 1	Train Loss = 0.08378, Val Loss = 0.05199
2026-01-05-14-14-08	Epoch 2	Train Loss = 0.03374, Val Loss = 0.04905
2026-01-05-14-16-14	Epoch 3	Train Loss = 0.03181, Val Loss = 0.05090
2026-01-05-14-18-21	Epoch 4	Train Loss = 0.02990, Val Loss = 0.04620
2026-01-05-14-20-27	Epoch 5	Train Loss = 0.02806, Val Loss = 0.04224
2026-01-05-14-22-33	Epoch 6	Train Loss = 0.02445, Val Loss = 0.03974
2026-01-05-14-24-40	Epoch 7	Train Loss = 0.02392, Val Loss = 0.03910
2026-01-05-14-26-46	Epoch 8	Train Loss = 0.02186, Val Loss = 0.03819
2026-01-05-14-28-52	Epoch 9	Train Loss = 0.02145, Val Loss = 0.03712
2026-01-05-14-30-59	Epoch 10	Train Loss = 0.02029, Val Loss = 0.03800
2026-01-05-14-33-05	Epoch 11	Train Loss = 0.01964, Val Loss = 0.03776
2026-01-05-14-35-12	Epoch 12	Train Loss = 0.01993, Val Loss = 0.03453
2026-01-05-14-37-18	Epoch 13	Train Loss = 0.01905, Val Loss = 0.03593
2026-01-05-14-39-25	Epoch 14	Train Loss = 0.01823, Val Loss = 0.03381
