{'gpu': {'device_ids': [0], 'distributed': True, 'main_device': 0}, 'data': {'traffic_file': 'data/PEMS08/PEMS08.npz', 'train_ratio': 0.6, 'val_ratio': 0.2, 'test_ratio': 0.2, 'batch_size': 32}, 'model': {'input_dim': 3, 'P': 12, 'Q': 12, 'T': 288, 'L': 3, 'K': 8, 'd': 32, 'embed_dim': 64, 'skip_dim': 256, 'lape_dim': 64}, 'training': {'max_epoch': 1500, 'patience': 50, 'learning_rate': 0.002, 'clip_grad': 5, 'loss_func': 'huber', 'use_temporal_weighting': False, 'temporal_weight_scheme': 'progressive', 'use_cosine_annealing': True, 'lr_decay': False, 'lr_decay_rate': 0.3, 'lr_decay_step': '5,20,40,70', 'step_size': 100, 'gamma': 0.9, 'weight_decay': 0.0001, 'dropout': 0.3, 'warmup_epochs': 50}, 'logging': {'log_dir': './logs', 'tensorboard_dir': './runLog/mpgat', 'verbose': 1}, 'saving': {'model_dir': './saved_models', 'save_best': True}, 'misc': {'seed': 42, 'time_slot': 5, 'use_amp': False}}
train	x: (10714, 12, 170, 3), y: (10714, 12, 170, 3)
eval	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
test	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
2026-01-07-14-50-06	Epoch 1	Train Loss = 0.09122, Val Loss = 0.03679
2026-01-07-14-52-12	Epoch 2	Train Loss = 0.01919, Val Loss = 0.04097
2026-01-07-14-54-17	Epoch 3	Train Loss = 0.01896, Val Loss = 0.03607
2026-01-07-14-56-23	Epoch 4	Train Loss = 0.01903, Val Loss = 0.03607
2026-01-07-14-58-29	Epoch 5	Train Loss = 0.01871, Val Loss = 0.03722
2026-01-07-15-00-35	Epoch 6	Train Loss = 0.01799, Val Loss = 0.03721
2026-01-07-15-02-41	Epoch 7	Train Loss = 0.01704, Val Loss = 0.03546
2026-01-07-15-04-47	Epoch 8	Train Loss = 0.01601, Val Loss = 0.03340
2026-01-07-15-06-54	Epoch 9	Train Loss = 0.01524, Val Loss = 0.03242
2026-01-07-15-09-00	Epoch 10	Train Loss = 0.01469, Val Loss = 0.03257
2026-01-07-15-11-06	Epoch 11	Train Loss = 0.01427, Val Loss = 0.03178
2026-01-07-15-13-12	Epoch 12	Train Loss = 0.01388, Val Loss = 0.03138
2026-01-07-15-15-18	Epoch 13	Train Loss = 0.01376, Val Loss = 0.03170
2026-01-07-15-17-24	Epoch 14	Train Loss = 0.01365, Val Loss = 0.03135
2026-01-07-15-19-30	Epoch 15	Train Loss = 0.01345, Val Loss = 0.03122
2026-01-07-15-21-36	Epoch 16	Train Loss = 0.01331, Val Loss = 0.03127
2026-01-07-15-23-42	Epoch 17	Train Loss = 0.01320, Val Loss = 0.03113
2026-01-07-15-25-48	Epoch 18	Train Loss = 0.01306, Val Loss = 0.03110
2026-01-07-15-27-54	Epoch 19	Train Loss = 0.01290, Val Loss = 0.03083
2026-01-07-15-30-00	Epoch 20	Train Loss = 0.01299, Val Loss = 0.03064
[Curriculum Info] Epoch 20: Resetting Early Stopping...
2026-01-07-15-32-06	Epoch 21	Train Loss = 0.02179, Val Loss = 0.03411
2026-01-07-15-34-12	Epoch 22	Train Loss = 0.01647, Val Loss = 0.03384
2026-01-07-15-36-18	Epoch 23	Train Loss = 0.01571, Val Loss = 0.03338
2026-01-07-15-38-23	Epoch 24	Train Loss = 0.01548, Val Loss = 0.03311
2026-01-07-15-40-29	Epoch 25	Train Loss = 0.01561, Val Loss = 0.03287
2026-01-07-15-42-35	Epoch 26	Train Loss = 0.01507, Val Loss = 0.03219
2026-01-07-15-44-41	Epoch 27	Train Loss = 0.01477, Val Loss = 0.03260
2026-01-07-15-46-47	Epoch 28	Train Loss = 0.01460, Val Loss = 0.03225
2026-01-07-15-48-52	Epoch 29	Train Loss = 0.01473, Val Loss = 0.03285
2026-01-07-15-50-58	Epoch 30	Train Loss = 0.01449, Val Loss = 0.03219
2026-01-07-15-53-04	Epoch 31	Train Loss = 0.01436, Val Loss = 0.03215
2026-01-07-15-55-10	Epoch 32	Train Loss = 0.01684, Val Loss = 0.03417
2026-01-07-15-57-16	Epoch 33	Train Loss = 0.01574, Val Loss = 0.03401
2026-01-07-15-59-22	Epoch 34	Train Loss = 0.01554, Val Loss = 0.03330
2026-01-07-16-01-27	Epoch 35	Train Loss = 0.01514, Val Loss = 0.03222
2026-01-07-16-03-33	Epoch 36	Train Loss = 0.01550, Val Loss = 0.03984
2026-01-07-16-05-39	Epoch 37	Train Loss = 0.02028, Val Loss = 0.03656
2026-01-07-16-07-45	Epoch 38	Train Loss = 0.01748, Val Loss = 0.03513
2026-01-07-16-09-50	Epoch 39	Train Loss = 0.01772, Val Loss = 0.03651
2026-01-07-16-11-56	Epoch 40	Train Loss = 0.01813, Val Loss = 0.03407
[Curriculum Info] Epoch 40: Resetting Early Stopping...
2026-01-07-16-14-01	Epoch 41	Train Loss = 0.03932, Val Loss = 0.04221
2026-01-07-16-16-07	Epoch 42	Train Loss = 0.02234, Val Loss = 0.04046
2026-01-07-16-18-13	Epoch 43	Train Loss = 0.02084, Val Loss = 0.03788
2026-01-07-16-20-18	Epoch 44	Train Loss = 0.02020, Val Loss = 0.03657
2026-01-07-16-22-24	Epoch 45	Train Loss = 0.01954, Val Loss = 0.03738
2026-01-07-16-24-30	Epoch 46	Train Loss = 0.01900, Val Loss = 0.03673
2026-01-07-16-26-35	Epoch 47	Train Loss = 0.01880, Val Loss = 0.03587
2026-01-07-16-28-41	Epoch 48	Train Loss = 0.01800, Val Loss = 0.03568
2026-01-07-16-30-46	Epoch 49	Train Loss = 0.01781, Val Loss = 0.03492
2026-01-07-16-32-52	Epoch 50	Train Loss = 0.01769, Val Loss = 0.03471
2026-01-07-16-34-58	Epoch 51	Train Loss = 0.01774, Val Loss = 0.03496
2026-01-07-16-37-04	Epoch 52	Train Loss = 0.01725, Val Loss = 0.03445
2026-01-07-16-39-09	Epoch 53	Train Loss = 0.01745, Val Loss = 0.03366
2026-01-07-16-41-15	Epoch 54	Train Loss = 0.01683, Val Loss = 0.03361
2026-01-07-16-43-21	Epoch 55	Train Loss = 0.01690, Val Loss = 0.03326
2026-01-07-16-45-26	Epoch 56	Train Loss = 0.01662, Val Loss = 0.03301
2026-01-07-16-47-32	Epoch 57	Train Loss = 0.01651, Val Loss = 0.03381
2026-01-07-16-49-38	Epoch 58	Train Loss = 0.01680, Val Loss = 0.03301
2026-01-07-16-51-44	Epoch 59	Train Loss = 0.01629, Val Loss = 0.03464
2026-01-07-16-53-50	Epoch 60	Train Loss = 0.01604, Val Loss = 0.03397
2026-01-07-16-55-55	Epoch 61	Train Loss = 0.01625, Val Loss = 0.03376
2026-01-07-16-58-01	Epoch 62	Train Loss = 0.01633, Val Loss = 0.03287
2026-01-07-17-00-07	Epoch 63	Train Loss = 0.01591, Val Loss = 0.03261
2026-01-07-17-02-13	Epoch 64	Train Loss = 0.01595, Val Loss = 0.03430
2026-01-07-17-04-18	Epoch 65	Train Loss = 0.01602, Val Loss = 0.03394
2026-01-07-17-06-24	Epoch 66	Train Loss = 0.01575, Val Loss = 0.03207
2026-01-07-17-08-30	Epoch 67	Train Loss = 0.01596, Val Loss = 0.03203
2026-01-07-17-10-35	Epoch 68	Train Loss = 0.01533, Val Loss = 0.03242
2026-01-07-17-12-41	Epoch 69	Train Loss = 0.01534, Val Loss = 0.03174
2026-01-07-17-14-47	Epoch 70	Train Loss = 0.01521, Val Loss = 0.03252
2026-01-07-17-16-53	Epoch 71	Train Loss = 0.01526, Val Loss = 0.03227
2026-01-07-17-18-58	Epoch 72	Train Loss = 0.01533, Val Loss = 0.03230
2026-01-07-17-21-04	Epoch 73	Train Loss = 0.01509, Val Loss = 0.03195
2026-01-07-17-23-09	Epoch 74	Train Loss = 0.01492, Val Loss = 0.03237
2026-01-07-17-25-15	Epoch 75	Train Loss = 0.01521, Val Loss = 0.03228
2026-01-07-17-27-20	Epoch 76	Train Loss = 0.01495, Val Loss = 0.03083
2026-01-07-17-29-26	Epoch 77	Train Loss = 0.01521, Val Loss = 0.03437
2026-01-07-17-31-31	Epoch 78	Train Loss = 0.01474, Val Loss = 0.03069
2026-01-07-17-33-37	Epoch 79	Train Loss = 0.01467, Val Loss = 0.03067
2026-01-07-17-35-43	Epoch 80	Train Loss = 0.01480, Val Loss = 0.03147
2026-01-07-17-37-48	Epoch 81	Train Loss = 0.01501, Val Loss = 0.03154
2026-01-07-17-39-54	Epoch 82	Train Loss = 0.01450, Val Loss = 0.03140
2026-01-07-17-41-59	Epoch 83	Train Loss = 0.01440, Val Loss = 0.03167
2026-01-07-17-44-05	Epoch 84	Train Loss = 0.01457, Val Loss = 0.03135
2026-01-07-17-46-10	Epoch 85	Train Loss = 0.01455, Val Loss = 0.03203
2026-01-07-17-48-16	Epoch 86	Train Loss = 0.01446, Val Loss = 0.03184
2026-01-07-17-50-22	Epoch 87	Train Loss = 0.01443, Val Loss = 0.03086
2026-01-07-17-52-27	Epoch 88	Train Loss = 0.01435, Val Loss = 0.03144
2026-01-07-17-54-33	Epoch 89	Train Loss = 0.01418, Val Loss = 0.03127
2026-01-07-17-56-39	Epoch 90	Train Loss = 0.01445, Val Loss = 0.03159
2026-01-07-17-58-44	Epoch 91	Train Loss = 0.01414, Val Loss = 0.03095
2026-01-07-18-00-50	Epoch 92	Train Loss = 0.01420, Val Loss = 0.03029
2026-01-07-18-02-55	Epoch 93	Train Loss = 0.01428, Val Loss = 0.03139
2026-01-07-18-05-01	Epoch 94	Train Loss = 0.01411, Val Loss = 0.03115
2026-01-07-18-07-06	Epoch 95	Train Loss = 0.01433, Val Loss = 0.03155
2026-01-07-18-09-12	Epoch 96	Train Loss = 0.01404, Val Loss = 0.03077
2026-01-07-18-11-17	Epoch 97	Train Loss = 0.01405, Val Loss = 0.03064
2026-01-07-18-13-23	Epoch 98	Train Loss = 0.01410, Val Loss = 0.03061
2026-01-07-18-15-28	Epoch 99	Train Loss = 0.01386, Val Loss = 0.03136
2026-01-07-18-17-34	Epoch 100	Train Loss = 0.01383, Val Loss = 0.03051
2026-01-07-18-19-39	Epoch 101	Train Loss = 0.01401, Val Loss = 0.02982
2026-01-07-18-21-45	Epoch 102	Train Loss = 0.01385, Val Loss = 0.03022
2026-01-07-18-23-50	Epoch 103	Train Loss = 0.01379, Val Loss = 0.03146
2026-01-07-18-25-56	Epoch 104	Train Loss = 0.01376, Val Loss = 0.03080
2026-01-07-18-28-01	Epoch 105	Train Loss = 0.01378, Val Loss = 0.03086
2026-01-07-18-30-07	Epoch 106	Train Loss = 0.01382, Val Loss = 0.02978
2026-01-07-18-32-12	Epoch 107	Train Loss = 0.01375, Val Loss = 0.03123
2026-01-07-18-34-18	Epoch 108	Train Loss = 0.01383, Val Loss = 0.02910
2026-01-07-18-36-23	Epoch 109	Train Loss = 0.01365, Val Loss = 0.03010
2026-01-07-18-38-29	Epoch 110	Train Loss = 0.01342, Val Loss = 0.02998
2026-01-07-18-40-34	Epoch 111	Train Loss = 0.01382, Val Loss = 0.03067
2026-01-07-18-42-40	Epoch 112	Train Loss = 0.01425, Val Loss = 0.03045
2026-01-07-18-44-45	Epoch 113	Train Loss = 0.01372, Val Loss = 0.02977
2026-01-07-18-46-51	Epoch 114	Train Loss = 0.01359, Val Loss = 0.03072
2026-01-07-18-48-56	Epoch 115	Train Loss = 0.01348, Val Loss = 0.02951
2026-01-07-18-51-02	Epoch 116	Train Loss = 0.01360, Val Loss = 0.03041
2026-01-07-18-53-07	Epoch 117	Train Loss = 0.01345, Val Loss = 0.03078
2026-01-07-18-55-13	Epoch 118	Train Loss = 0.01345, Val Loss = 0.03045
2026-01-07-18-57-18	Epoch 119	Train Loss = 0.01338, Val Loss = 0.02913
2026-01-07-18-59-24	Epoch 120	Train Loss = 0.01348, Val Loss = 0.02933
2026-01-07-19-01-29	Epoch 121	Train Loss = 0.01370, Val Loss = 0.02967
2026-01-07-19-03-34	Epoch 122	Train Loss = 0.01334, Val Loss = 0.03021
2026-01-07-19-05-40	Epoch 123	Train Loss = 0.01321, Val Loss = 0.02950
2026-01-07-19-07-45	Epoch 124	Train Loss = 0.01323, Val Loss = 0.02935
2026-01-07-19-09-51	Epoch 125	Train Loss = 0.01355, Val Loss = 0.03014
2026-01-07-19-11-56	Epoch 126	Train Loss = 0.01315, Val Loss = 0.03015
2026-01-07-19-14-02	Epoch 127	Train Loss = 0.01328, Val Loss = 0.03049
2026-01-07-19-16-07	Epoch 128	Train Loss = 0.01330, Val Loss = 0.02892
2026-01-07-19-18-13	Epoch 129	Train Loss = 0.01317, Val Loss = 0.03131
2026-01-07-19-20-18	Epoch 130	Train Loss = 0.01329, Val Loss = 0.02784
2026-01-07-19-22-24	Epoch 131	Train Loss = 0.01331, Val Loss = 0.02960
2026-01-07-19-24-29	Epoch 132	Train Loss = 0.01361, Val Loss = 0.03081
2026-01-07-19-26-35	Epoch 133	Train Loss = 0.01326, Val Loss = 0.02842
2026-01-07-19-28-40	Epoch 134	Train Loss = 0.01304, Val Loss = 0.02973
2026-01-07-19-30-45	Epoch 135	Train Loss = 0.01308, Val Loss = 0.02911
2026-01-07-19-32-51	Epoch 136	Train Loss = 0.01347, Val Loss = 0.03304
2026-01-07-19-34-56	Epoch 137	Train Loss = 0.01329, Val Loss = 0.02972
2026-01-07-19-37-02	Epoch 138	Train Loss = 0.01297, Val Loss = 0.02868
2026-01-07-19-39-07	Epoch 139	Train Loss = 0.01287, Val Loss = 0.02927
2026-01-07-19-41-13	Epoch 140	Train Loss = 0.01301, Val Loss = 0.03015
