{'gpu': {'device_ids': [1], 'distributed': True, 'main_device': 0}, 'data': {'traffic_file': 'data/PEMS08/PEMS08.npz', 'train_ratio': 0.6, 'val_ratio': 0.2, 'test_ratio': 0.2, 'batch_size': 32}, 'model': {'input_dim': 3, 'P': 12, 'Q': 12, 'T': 288, 'L': 3, 'K': 8, 'd': 32, 'embed_dim': 64, 'skip_dim': 256, 'lape_dim': 64}, 'training': {'max_epoch': 1500, 'patience': 50, 'learning_rate': 0.002, 'clip_grad': 5, 'loss_func': 'masked_mae', 'use_temporal_weighting': False, 'temporal_weight_scheme': 'exponential', 'use_cosine_annealing': True, 'lr_decay': False, 'lr_decay_rate': 0.3, 'lr_decay_step': '5,20,40,70', 'step_size': 100, 'gamma': 0.9, 'weight_decay': 0.0001, 'dropout': 0.3, 'warmup_epochs': 50}, 'logging': {'log_dir': './logs', 'tensorboard_dir': './runLog/mpgat', 'verbose': 1}, 'saving': {'model_dir': './saved_models', 'save_best': True}, 'misc': {'seed': 42, 'time_slot': 5, 'use_amp': False}}
train	x: (10714, 12, 170, 3), y: (10714, 12, 170, 3)
eval	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
test	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
2026-01-11-23-57-29	Epoch 1	Train Loss = 0.17508, Val Loss = 0.17190
2026-01-11-23-59-36	Epoch 2	Train Loss = 0.13015, Val Loss = 0.14764
2026-01-12-00-01-43	Epoch 3	Train Loss = 0.12661, Val Loss = 0.14553
2026-01-12-00-03-50	Epoch 4	Train Loss = 0.12519, Val Loss = 0.14349
2026-01-12-00-05-56	Epoch 5	Train Loss = 0.12508, Val Loss = 0.14534
2026-01-12-00-08-03	Epoch 6	Train Loss = 0.12406, Val Loss = 0.14536
2026-01-12-00-10-10	Epoch 7	Train Loss = 0.12347, Val Loss = 0.14031
2026-01-12-00-12-16	Epoch 8	Train Loss = 0.11782, Val Loss = 0.13834
2026-01-12-00-14-23	Epoch 9	Train Loss = 0.11081, Val Loss = 0.13244
2026-01-12-00-16-30	Epoch 10	Train Loss = 0.10737, Val Loss = 0.12746
2026-01-12-00-18-36	Epoch 11	Train Loss = 0.10580, Val Loss = 0.12535
2026-01-12-00-20-43	Epoch 12	Train Loss = 0.10472, Val Loss = 0.12724
2026-01-12-00-22-50	Epoch 13	Train Loss = 0.10429, Val Loss = 0.12453
2026-01-12-00-24-56	Epoch 14	Train Loss = 0.10343, Val Loss = 0.12444
2026-01-12-00-27-03	Epoch 15	Train Loss = 0.10243, Val Loss = 0.12373
2026-01-12-00-29-10	Epoch 16	Train Loss = 0.10198, Val Loss = 0.12304
2026-01-12-00-31-16	Epoch 17	Train Loss = 0.10187, Val Loss = 0.12682
2026-01-12-00-33-23	Epoch 18	Train Loss = 0.10057, Val Loss = 0.12145
2026-01-12-00-35-30	Epoch 19	Train Loss = 0.10185, Val Loss = 0.12318
2026-01-12-00-37-36	Epoch 20	Train Loss = 0.10077, Val Loss = 0.12158
2026-01-12-00-39-43	Epoch 21	Train Loss = 0.10056, Val Loss = 0.12061
2026-01-12-00-41-50	Epoch 22	Train Loss = 0.09914, Val Loss = 0.11985
2026-01-12-00-43-56	Epoch 23	Train Loss = 0.09855, Val Loss = 0.12225
2026-01-12-00-46-03	Epoch 24	Train Loss = 0.09843, Val Loss = 0.12002
2026-01-12-00-48-10	Epoch 25	Train Loss = 0.09815, Val Loss = 0.11897
2026-01-12-00-50-16	Epoch 26	Train Loss = 0.09752, Val Loss = 0.11854
2026-01-12-00-52-23	Epoch 27	Train Loss = 0.09722, Val Loss = 0.11938
2026-01-12-00-54-30	Epoch 28	Train Loss = 0.09693, Val Loss = 0.11846
2026-01-12-00-56-36	Epoch 29	Train Loss = 0.09606, Val Loss = 0.11755
2026-01-12-00-58-43	Epoch 30	Train Loss = 0.09581, Val Loss = 0.11730
2026-01-12-01-00-50	Epoch 31	Train Loss = 0.09552, Val Loss = 0.11673
2026-01-12-01-02-56	Epoch 32	Train Loss = 0.09507, Val Loss = 0.11735
2026-01-12-01-05-03	Epoch 33	Train Loss = 0.09544, Val Loss = 0.11875
2026-01-12-01-07-10	Epoch 34	Train Loss = 0.09520, Val Loss = 0.11968
2026-01-12-01-09-16	Epoch 35	Train Loss = 0.09430, Val Loss = 0.11680
2026-01-12-01-11-23	Epoch 36	Train Loss = 0.09394, Val Loss = 0.11621
2026-01-12-01-13-29	Epoch 37	Train Loss = 0.09405, Val Loss = 0.11598
2026-01-12-01-15-36	Epoch 38	Train Loss = 0.09342, Val Loss = 0.11659
2026-01-12-01-17-43	Epoch 39	Train Loss = 0.09369, Val Loss = 0.11509
2026-01-12-01-19-49	Epoch 40	Train Loss = 0.09324, Val Loss = 0.11514
2026-01-12-01-21-56	Epoch 41	Train Loss = 0.14945, Val Loss = 0.12583
2026-01-12-01-24-02	Epoch 42	Train Loss = 0.10287, Val Loss = 0.12413
2026-01-12-01-26-09	Epoch 43	Train Loss = 0.10136, Val Loss = 0.12569
2026-01-12-01-28-15	Epoch 44	Train Loss = 0.10032, Val Loss = 0.12252
2026-01-12-01-30-22	Epoch 45	Train Loss = 0.10026, Val Loss = 0.12237
2026-01-12-01-32-29	Epoch 46	Train Loss = 0.09919, Val Loss = 0.12235
2026-01-12-01-34-35	Epoch 47	Train Loss = 0.09826, Val Loss = 0.12107
2026-01-12-01-36-42	Epoch 48	Train Loss = 0.09789, Val Loss = 0.12119
2026-01-12-01-38-48	Epoch 49	Train Loss = 0.09745, Val Loss = 0.12185
2026-01-12-01-40-55	Epoch 50	Train Loss = 0.09643, Val Loss = 0.12133
2026-01-12-01-43-01	Epoch 51	Train Loss = 0.09648, Val Loss = 0.11984
2026-01-12-01-45-08	Epoch 52	Train Loss = 0.09588, Val Loss = 0.12053
2026-01-12-01-47-14	Epoch 53	Train Loss = 0.09536, Val Loss = 0.11884
2026-01-12-01-49-21	Epoch 54	Train Loss = 0.09484, Val Loss = 0.11953
2026-01-12-01-51-27	Epoch 55	Train Loss = 0.09514, Val Loss = 0.12051
2026-01-12-01-53-34	Epoch 56	Train Loss = 0.09425, Val Loss = 0.11921
2026-01-12-01-55-40	Epoch 57	Train Loss = 0.09380, Val Loss = 0.12000
2026-01-12-01-57-47	Epoch 58	Train Loss = 0.09350, Val Loss = 0.11860
2026-01-12-01-59-53	Epoch 59	Train Loss = 0.09333, Val Loss = 0.11902
2026-01-12-02-02-00	Epoch 60	Train Loss = 0.09279, Val Loss = 0.11864
2026-01-12-02-04-07	Epoch 61	Train Loss = 0.09271, Val Loss = 0.11829
2026-01-12-02-06-13	Epoch 62	Train Loss = 0.09186, Val Loss = 0.11761
2026-01-12-02-08-20	Epoch 63	Train Loss = 0.09227, Val Loss = 0.11699
2026-01-12-02-10-26	Epoch 64	Train Loss = 0.09137, Val Loss = 0.11665
2026-01-12-02-12-33	Epoch 65	Train Loss = 0.09177, Val Loss = 0.11920
2026-01-12-02-14-39	Epoch 66	Train Loss = 0.09103, Val Loss = 0.11764
2026-01-12-02-16-46	Epoch 67	Train Loss = 0.09068, Val Loss = 0.11696
2026-01-12-02-18-52	Epoch 68	Train Loss = 0.09022, Val Loss = 0.11675
2026-01-12-02-20-59	Epoch 69	Train Loss = 0.09036, Val Loss = 0.11616
2026-01-12-02-23-05	Epoch 70	Train Loss = 0.08954, Val Loss = 0.11583
2026-01-12-02-25-12	Epoch 71	Train Loss = 0.15292, Val Loss = 0.13192
2026-01-12-02-27-18	Epoch 72	Train Loss = 0.10346, Val Loss = 0.12858
2026-01-12-02-29-25	Epoch 73	Train Loss = 0.10104, Val Loss = 0.12821
2026-01-12-02-31-31	Epoch 74	Train Loss = 0.09894, Val Loss = 0.12783
2026-01-12-02-33-38	Epoch 75	Train Loss = 0.09876, Val Loss = 0.12508
2026-01-12-02-35-44	Epoch 76	Train Loss = 0.09738, Val Loss = 0.12495
2026-01-12-02-37-51	Epoch 77	Train Loss = 0.09692, Val Loss = 0.12470
2026-01-12-02-39-57	Epoch 78	Train Loss = 0.09617, Val Loss = 0.12586
2026-01-12-02-42-04	Epoch 79	Train Loss = 0.09555, Val Loss = 0.12459
2026-01-12-02-44-11	Epoch 80	Train Loss = 0.09509, Val Loss = 0.12891
2026-01-12-02-46-17	Epoch 81	Train Loss = 0.09475, Val Loss = 0.12580
2026-01-12-02-48-24	Epoch 82	Train Loss = 0.09426, Val Loss = 0.12333
2026-01-12-02-50-30	Epoch 83	Train Loss = 0.09370, Val Loss = 0.12703
2026-01-12-02-52-37	Epoch 84	Train Loss = 0.09337, Val Loss = 0.12238
2026-01-12-02-54-43	Epoch 85	Train Loss = 0.09276, Val Loss = 0.12446
2026-01-12-02-56-50	Epoch 86	Train Loss = 0.09267, Val Loss = 0.12287
2026-01-12-02-58-56	Epoch 87	Train Loss = 0.09232, Val Loss = 0.12351
2026-01-12-03-01-03	Epoch 88	Train Loss = 0.09165, Val Loss = 0.12323
2026-01-12-03-03-09	Epoch 89	Train Loss = 0.09221, Val Loss = 0.12277
2026-01-12-03-05-16	Epoch 90	Train Loss = 0.09122, Val Loss = 0.12364
2026-01-12-03-07-22	Epoch 91	Train Loss = 0.09129, Val Loss = 0.12207
2026-01-12-03-09-29	Epoch 92	Train Loss = 0.09078, Val Loss = 0.12389
2026-01-12-03-11-35	Epoch 93	Train Loss = 0.09053, Val Loss = 0.12240
2026-01-12-03-13-42	Epoch 94	Train Loss = 0.08988, Val Loss = 0.12218
2026-01-12-03-15-48	Epoch 95	Train Loss = 0.08986, Val Loss = 0.12294
2026-01-12-03-17-54	Epoch 96	Train Loss = 0.09002, Val Loss = 0.12227
2026-01-12-03-20-01	Epoch 97	Train Loss = 0.08997, Val Loss = 0.12212
2026-01-12-03-22-07	Epoch 98	Train Loss = 0.08926, Val Loss = 0.12110
2026-01-12-03-24-14	Epoch 99	Train Loss = 0.08893, Val Loss = 0.12138
2026-01-12-03-26-20	Epoch 100	Train Loss = 0.08863, Val Loss = 0.12200
2026-01-12-03-28-27	Epoch 101	Train Loss = 0.08927, Val Loss = 0.12166
2026-01-12-03-30-33	Epoch 102	Train Loss = 0.08849, Val Loss = 0.12136
2026-01-12-03-32-40	Epoch 103	Train Loss = 0.08807, Val Loss = 0.12233
2026-01-12-03-34-46	Epoch 104	Train Loss = 0.08811, Val Loss = 0.12260
2026-01-12-03-36-53	Epoch 105	Train Loss = 0.08805, Val Loss = 0.12184
2026-01-12-03-38-59	Epoch 106	Train Loss = 0.08769, Val Loss = 0.12258
2026-01-12-03-41-06	Epoch 107	Train Loss = 0.08758, Val Loss = 0.12195
2026-01-12-03-43-12	Epoch 108	Train Loss = 0.08723, Val Loss = 0.12149
