{'gpu': {'device_ids': [0], 'distributed': True, 'main_device': 0}, 'data': {'traffic_file': 'data/PEMS08/PEMS08.npz', 'train_ratio': 0.6, 'val_ratio': 0.2, 'test_ratio': 0.2, 'batch_size': 32}, 'model': {'input_dim': 3, 'P': 12, 'Q': 12, 'T': 288, 'L': 3, 'K': 8, 'd': 32, 'embed_dim': 64, 'skip_dim': 256, 'lape_dim': 64}, 'training': {'max_epoch': 1500, 'patience': 50, 'learning_rate': 0.002, 'clip_grad': 5, 'loss_func': 'masked_mae', 'use_temporal_weighting': True, 'temporal_weight_scheme': 'exponential', 'use_cosine_annealing': True, 'lr_decay': False, 'lr_decay_rate': 0.3, 'lr_decay_step': '5,20,40,70', 'step_size': 100, 'gamma': 0.9, 'weight_decay': 0.0001, 'dropout': 0.3, 'warmup_epochs': 50}, 'logging': {'log_dir': './logs', 'tensorboard_dir': './runLog/mpgat', 'verbose': 1}, 'saving': {'model_dir': './saved_models', 'save_best': True}, 'misc': {'seed': 42, 'time_slot': 5, 'use_amp': False}}
train	x: (10714, 12, 170, 3), y: (10714, 12, 170, 3)
eval	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
test	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
2026-01-11-23-59-11	Epoch 1	Train Loss = 0.27512, Val Loss = 0.16435
2026-01-12-00-01-17	Epoch 2	Train Loss = 0.15073, Val Loss = 0.16205
2026-01-12-00-03-23	Epoch 3	Train Loss = 0.13447, Val Loss = 0.16110
2026-01-12-00-05-29	Epoch 4	Train Loss = 0.12640, Val Loss = 0.14701
2026-01-12-00-07-35	Epoch 5	Train Loss = 0.12573, Val Loss = 0.14404
2026-01-12-00-09-41	Epoch 6	Train Loss = 0.11772, Val Loss = 0.13537
2026-01-12-00-11-48	Epoch 7	Train Loss = 0.11356, Val Loss = 0.13231
2026-01-12-00-13-54	Epoch 8	Train Loss = 0.11080, Val Loss = 0.13432
2026-01-12-00-16-00	Epoch 9	Train Loss = 0.10941, Val Loss = 0.13152
2026-01-12-00-18-06	Epoch 10	Train Loss = 0.10887, Val Loss = 0.13295
2026-01-12-00-20-12	Epoch 11	Train Loss = 0.10861, Val Loss = 0.12956
2026-01-12-00-22-18	Epoch 12	Train Loss = 0.10819, Val Loss = 0.12809
2026-01-12-00-24-25	Epoch 13	Train Loss = 0.10732, Val Loss = 0.12709
2026-01-12-00-26-31	Epoch 14	Train Loss = 0.10663, Val Loss = 0.12765
2026-01-12-00-28-37	Epoch 15	Train Loss = 0.10774, Val Loss = 0.12868
2026-01-12-00-30-43	Epoch 16	Train Loss = 0.10595, Val Loss = 0.13376
2026-01-12-00-32-49	Epoch 17	Train Loss = 0.10537, Val Loss = 0.12673
2026-01-12-00-34-55	Epoch 18	Train Loss = 0.10619, Val Loss = 0.12649
2026-01-12-00-37-01	Epoch 19	Train Loss = 0.10773, Val Loss = 0.12953
2026-01-12-00-39-07	Epoch 20	Train Loss = 0.10657, Val Loss = 0.12875
2026-01-12-00-41-13	Epoch 21	Train Loss = 0.10595, Val Loss = 0.12597
2026-01-12-00-43-19	Epoch 22	Train Loss = 0.10687, Val Loss = 0.12641
2026-01-12-00-45-25	Epoch 23	Train Loss = 0.10503, Val Loss = 0.12536
2026-01-12-00-47-31	Epoch 24	Train Loss = 0.10602, Val Loss = 0.12827
2026-01-12-00-49-37	Epoch 25	Train Loss = 0.10536, Val Loss = 0.13112
2026-01-12-00-51-43	Epoch 26	Train Loss = 0.10653, Val Loss = 0.12662
2026-01-12-00-53-49	Epoch 27	Train Loss = 0.10903, Val Loss = 0.13454
2026-01-12-00-55-55	Epoch 28	Train Loss = 0.11570, Val Loss = 0.13656
2026-01-12-00-58-01	Epoch 29	Train Loss = 0.11222, Val Loss = 0.13008
2026-01-12-01-00-07	Epoch 30	Train Loss = 0.10964, Val Loss = 0.13028
2026-01-12-01-02-13	Epoch 31	Train Loss = 0.10744, Val Loss = 0.12754
2026-01-12-01-04-19	Epoch 32	Train Loss = 0.10879, Val Loss = 0.12778
2026-01-12-01-06-25	Epoch 33	Train Loss = 0.10613, Val Loss = 0.12893
2026-01-12-01-08-31	Epoch 34	Train Loss = 0.10570, Val Loss = 0.12625
2026-01-12-01-10-37	Epoch 35	Train Loss = 0.10488, Val Loss = 0.12589
2026-01-12-01-12-43	Epoch 36	Train Loss = 0.10426, Val Loss = 0.12535
2026-01-12-01-14-49	Epoch 37	Train Loss = 0.10511, Val Loss = 0.12768
2026-01-12-01-16-55	Epoch 38	Train Loss = 0.10393, Val Loss = 0.12535
2026-01-12-01-19-01	Epoch 39	Train Loss = 0.10354, Val Loss = 0.12379
2026-01-12-01-21-07	Epoch 40	Train Loss = 0.10350, Val Loss = 0.12715
[Curriculum Info] Epoch 40: Resetting Early Stopping...
2026-01-12-01-23-13	Epoch 41	Train Loss = 0.14199, Val Loss = 0.14733
2026-01-12-01-25-18	Epoch 42	Train Loss = 0.11963, Val Loss = 0.13800
2026-01-12-01-27-24	Epoch 43	Train Loss = 0.11614, Val Loss = 0.13743
2026-01-12-01-29-30	Epoch 44	Train Loss = 0.11500, Val Loss = 0.13559
2026-01-12-01-31-36	Epoch 45	Train Loss = 0.11573, Val Loss = 0.13511
2026-01-12-01-33-42	Epoch 46	Train Loss = 0.11244, Val Loss = 0.13526
2026-01-12-01-35-48	Epoch 47	Train Loss = 0.11500, Val Loss = 0.13430
2026-01-12-01-37-54	Epoch 48	Train Loss = 0.11362, Val Loss = 0.13879
2026-01-12-01-39-59	Epoch 49	Train Loss = 0.11209, Val Loss = 0.13374
2026-01-12-01-42-05	Epoch 50	Train Loss = 0.11193, Val Loss = 0.13162
2026-01-12-01-44-11	Epoch 51	Train Loss = 0.11025, Val Loss = 0.13090
2026-01-12-01-46-17	Epoch 52	Train Loss = 0.10946, Val Loss = 0.13222
2026-01-12-01-48-23	Epoch 53	Train Loss = 0.10979, Val Loss = 0.13171
2026-01-12-01-50-29	Epoch 54	Train Loss = 0.10847, Val Loss = 0.12910
2026-01-12-01-52-35	Epoch 55	Train Loss = 0.10841, Val Loss = 0.12897
2026-01-12-01-54-40	Epoch 56	Train Loss = 0.10753, Val Loss = 0.12886
2026-01-12-01-56-46	Epoch 57	Train Loss = 0.10756, Val Loss = 0.13058
