{'gpu': {'device_ids': [1], 'distributed': True, 'main_device': 0}, 'data': {'traffic_file': 'data/PEMS08/PEMS08.npz', 'train_ratio': 0.6, 'val_ratio': 0.2, 'test_ratio': 0.2, 'batch_size': 32}, 'model': {'input_dim': 3, 'P': 12, 'Q': 12, 'T': 288, 'L': 3, 'K': 8, 'd': 32, 'embed_dim': 64, 'skip_dim': 256, 'lape_dim': 64}, 'training': {'max_epoch': 1500, 'patience': 50, 'learning_rate': 0.002, 'clip_grad': 5, 'loss_func': 'masked_mae', 'use_temporal_weighting': False, 'temporal_weight_scheme': 'exponential', 'use_cosine_annealing': True, 'lr_decay': False, 'lr_decay_rate': 0.3, 'lr_decay_step': '5,20,40,70', 'step_size': 100, 'gamma': 0.9, 'weight_decay': 0.0001, 'dropout': 0.3, 'warmup_epochs': 50}, 'logging': {'log_dir': './logs', 'tensorboard_dir': './runLog/mpgat', 'verbose': 1}, 'saving': {'model_dir': './saved_models', 'save_best': True}, 'misc': {'seed': 42, 'time_slot': 5, 'use_amp': False}}
train	x: (10714, 12, 170, 3), y: (10714, 12, 170, 3)
eval	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
test	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
2026-01-14-15-32-05	Epoch 1	Train Loss = 0.83114, Val Loss = 0.14678
2026-01-14-15-34-03	Epoch 2	Train Loss = 0.47540, Val Loss = 0.14670
2026-01-14-15-36-01	Epoch 3	Train Loss = 0.47425, Val Loss = 0.14546
2026-01-14-15-38-00	Epoch 4	Train Loss = 0.47176, Val Loss = 0.14478
2026-01-14-15-39-58	Epoch 5	Train Loss = 0.47058, Val Loss = 0.14496
2026-01-14-15-41-56	Epoch 6	Train Loss = 0.46993, Val Loss = 0.14449
2026-01-14-15-43-55	Epoch 7	Train Loss = 0.46919, Val Loss = 0.14414
2026-01-14-15-45-53	Epoch 8	Train Loss = 0.46887, Val Loss = 0.14388
2026-01-14-15-47-51	Epoch 9	Train Loss = 0.46834, Val Loss = 0.14368
2026-01-14-15-49-50	Epoch 10	Train Loss = 0.46822, Val Loss = 0.14367
2026-01-14-15-51-48	Epoch 11	Train Loss = 0.46764, Val Loss = 0.14359
2026-01-14-15-53-46	Epoch 12	Train Loss = 0.46705, Val Loss = 0.14296
2026-01-14-15-55-45	Epoch 13	Train Loss = 0.46625, Val Loss = 0.14356
2026-01-14-15-57-43	Epoch 14	Train Loss = 0.46583, Val Loss = 0.14224
2026-01-14-15-59-41	Epoch 15	Train Loss = 0.46509, Val Loss = 0.14199
2026-01-14-16-01-39	Epoch 16	Train Loss = 0.46435, Val Loss = 0.14174
2026-01-14-16-03-37	Epoch 17	Train Loss = 0.46468, Val Loss = 0.14212
2026-01-14-16-05-36	Epoch 18	Train Loss = 0.46398, Val Loss = 0.14215
2026-01-14-16-07-34	Epoch 19	Train Loss = 0.46317, Val Loss = 0.14201
2026-01-14-16-09-32	Epoch 20	Train Loss = 0.46283, Val Loss = 0.14195
2026-01-14-16-11-30	Epoch 21	Train Loss = 0.46278, Val Loss = 0.14110
2026-01-14-16-13-28	Epoch 22	Train Loss = 0.46249, Val Loss = 0.14069
2026-01-14-16-15-26	Epoch 23	Train Loss = 0.46291, Val Loss = 0.14268
2026-01-14-16-17-24	Epoch 24	Train Loss = 0.45075, Val Loss = 0.13148
2026-01-14-16-19-22	Epoch 25	Train Loss = 0.43786, Val Loss = 0.12896
2026-01-14-16-21-20	Epoch 26	Train Loss = 0.43416, Val Loss = 0.12875
2026-01-14-16-23-17	Epoch 27	Train Loss = 0.43178, Val Loss = 0.12693
2026-01-14-16-25-15	Epoch 28	Train Loss = 0.42939, Val Loss = 0.12547
2026-01-14-16-27-13	Epoch 29	Train Loss = 0.42835, Val Loss = 0.12527
2026-01-14-16-29-11	Epoch 30	Train Loss = 0.42695, Val Loss = 0.12570
2026-01-14-16-31-09	Epoch 31	Train Loss = 0.42643, Val Loss = 0.12399
2026-01-14-16-33-07	Epoch 32	Train Loss = 0.42449, Val Loss = 0.12326
2026-01-14-16-35-04	Epoch 33	Train Loss = 0.42321, Val Loss = 0.12302
2026-01-14-16-37-02	Epoch 34	Train Loss = 0.42191, Val Loss = 0.12192
2026-01-14-16-39-00	Epoch 35	Train Loss = 0.42113, Val Loss = 0.12234
2026-01-14-16-40-58	Epoch 36	Train Loss = 0.42031, Val Loss = 0.12255
2026-01-14-16-42-55	Epoch 37	Train Loss = 0.42096, Val Loss = 0.12256
2026-01-14-16-44-53	Epoch 38	Train Loss = 0.41987, Val Loss = 0.12220
2026-01-14-16-46-51	Epoch 39	Train Loss = 0.41859, Val Loss = 0.12075
2026-01-14-16-48-49	Epoch 40	Train Loss = 0.42226, Val Loss = 0.12209
2026-01-14-16-50-46	Epoch 41	Train Loss = 0.49392, Val Loss = 0.16460
2026-01-14-16-52-44	Epoch 42	Train Loss = 0.48605, Val Loss = 0.16423
2026-01-14-16-54-42	Epoch 43	Train Loss = 0.47997, Val Loss = 0.15770
2026-01-14-16-56-40	Epoch 44	Train Loss = 0.46175, Val Loss = 0.14841
2026-01-14-16-58-37	Epoch 45	Train Loss = 0.45444, Val Loss = 0.14352
2026-01-14-17-00-35	Epoch 46	Train Loss = 0.44933, Val Loss = 0.13808
